,0
C0_lead1_PM10,82678914261.36719
raw_PM10,32249568037.121094
D_city_lead1_PM10,5463243373.181641
D_city_med_PM10,5170322367.996094
D_city_mean_PM10,4779864804.828125
D_city_lead1_CO,3746649949.888672
C0_lead1_CO,3277919074.732422
C0_lead2_PM10,3088642229.5351562
D_city_lag1_CO,2944440381.5859375
D_city_mean_CO,2432745764.9941406
D_city_med_CO,1352194815.6679688
D_city_lag1_PM10,1055788139.3798828
B_dewpoint_depression,851710469.7089844
B_rh,824682095.9902344
C_lag1_PM10,806568680.359375
raw_station,750788420.4619141
C0_lead2_CO,614682377.90625
D_city_max_CO,575908646.5019531
C_lag12_CO,382211403.3964844
C0_lead1_SO2,363933874.2949219
C_lag12_TEMP,353977092.26464844
raw_CO,344421882.8964844
C0_delta1_PM10,336372119.4667969
C_lag6_DEWP,318590787.234375
C_lag24_CO,294294060.4589844
C_lag3_DEWP,282984904.5175781
C_lag6_CO,281892952.2089844
D_city_mean_SO2,266361648.29296875
D_city_mean_O3,254737673.56835938
C_lag3_CO,253469535.328125
C_lag6_TEMP,239297734.83398438
C_lag1_DEWP,227955914.67773438
C_lag24_PRES,219228764.27539062
C_diff24_PRES,213318428.7890625
C_lag2_DEWP,212201820.4140625
D_city_med_SO2,208294396.84375
C_lag1_CO,205531439.70410156
D_anom_PM10,198748232.12304688
C_lag12_DEWP,172735880.7001953
C_diff24_DEWP,168026087.88671875
raw_wd,166955319.16210938
C_lag24_DEWP,153269859.8720703
C_lag1_TEMP,152155562.21679688
D_city_med_O3,143671041.1015625
D_city_std_PM10,143135420.83789062
D_city_lead1_NO2,139105867.00390625
C_lag24_SO2,128410865.21972656
C_lag12_PM10,125857132.3984375
C_lag12_PRES,125526000.26171875
C_lag6_PRES,123279175.734375
C_diff24_TEMP,117809409.390625
raw_DEWP,117232130.17871094
D_city_max_PM10,115411714.09765625
C_diff24_PM10,115270488.46679688
D_city_med_NO2,112900249.46484375
D_city_mean_WSPM,112044030.82226562
C0_lead1_DEWP,109676330.72070312
D_city_range_PM10,107971872.62304688
C_lag3_PRES,106001199.06054688
C0_lead3_DEWP,105193678.5
C_lag2_PM10,101077782.38867188
C_diff3_DEWP,100529258.18945312
D_city_std_CO,95528409.88085938
C_lag24_TEMP,90970925.53027344
C_lag2_CO,90185796.2890625
C0_lead1_wind_v,87568654.88671875
C0_lead3_TEMP,87310521.5859375
D_anom_SO2,85600967.7265625
C_diff3_TEMP,83309547.92382812
C_lag24_PM10,83074274.80664062
C_lag3_TEMP,82910512.7109375
D_city_mean_TEMP,81948719.54003906
C_diff3_PRES,80992261.40527344
D_city_mean_NO2,79751406.53027344
C0_lead1_wind_u,79139135.3671875
C0_lead1_PRES,78818962.484375
